cau_hoi,cau_tra_loi,precision_at_k,recall_at_k,faithfulness,faithfulness_dang_ngo,faithfulness_dao_dong,faithfulness_bam_ngu_canh,answer_relevance,citation_accuracy,so_cap_trich_dan_da_kiem,do_tre_giay,loai_tai_lieu,loai_cau_hoi
What is the bias-variance decomposition?,"- The bias-variance decomposition breaks down the expected squared error into three components: squared bias, variance, and noise [4].
- The squared bias represents the extent to which the average prediction over all data sets differs from the desired regression function [4].
- The variance measures the extent to which the solutions for individual data sets vary around their average, and hence this measures the extent to which the function $y(\mathbf{x}; \mathcal{D})$ is sensitive to the particular choice of data set [4].",0.75,1.0,1.0,0,0.0,0.062,1.0,0.3333333333333333,3,56.25,dai_tieng_anh,truy_xuat
What is the Kullback-Leibler divergence?,"The Kullback-Leibler divergence is:

1. The average additional amount of information (in nats) required to specify the value of x (assuming we choose an efficient coding scheme) as a result of using q(x) instead of the true distribution p(x), given by KL(p||q) = −∫ p(x) ln q(x) dx [1].
2. Not a symmetrical quantity, that is to say KL(p||q) ≠ KL(q||p) [1].
3. Satisfies KL(p||q) ≥ 0 with equality if and only if p(x) = q(x) [1].
4. Can be expressed as KL(p||q) = -∫ p(x) ln {q(x)/p(x)} dx [2].
5. A measure of the dissimilarity between the distributions p(x) and q(x) [2].",0.5,1.0,1.0,0,0.0,0.462,1.0,0.6,5,29.93,dai_tieng_anh,truy_xuat
What is a mixture of Gaussians?,"1. A mixture of Gaussians is a probability distribution defined as a superposition of $K$ Gaussian densities of the form $p(\mathbf{x})=\sum_{k=1}^{K} \pi_{k} \mathcal{N}(\mathbf{x} \mid \boldsymbol{\mu}_{k}, \boldsymbol{\Sigma}_{k})$ [1].

2. Each Gaussian density $\mathcal{N}(\mathbf{x} \mid \boldsymbol{\mu}_{k}, \boldsymbol{\Sigma}_{k})$ in the mixture is called a component and has its own mean $\boldsymbol{\mu}_{k}$ and covariance $\boldsymbol{\Sigma}_{k}$ [1].

3. The parameters $\pi_{k}$ are called mixing coefficients that satisfy $\sum_{k=1}^{K} \pi_{k}=1$ and $0 \leqslant \pi_{k} \leqslant 1$ [1].

4. The Gaussian mixture model can be formulated in terms of discrete latent variables, where a K-dimensional binary random variable z with a 1-of-K representation is used [2].

5. In this formulation, the marginal distribution over z is specified by the mixing coefficients such that $p(z_k = 1) = \pi_k$ [2].",0.25,1.0,1.0,0,0.0,0.35,1.0,0.5,5,35.95,dai_tieng_anh,truy_xuat
What is the pinhole camera model?,"The pinhole camera model is:

1. The simplest mathematical model that can be applied to a lot of real photography devices [1].
2. A simplified representation of how light travels through a small aperture to form an image on a photosensitive surface [1].
3. The geometric relationship between a 3D point and its 2D corresponding projection onto the image plane, which is a form of perspective projection [3].
4. Defined by the equations x = fX/Z and y = fY/Z, where f is the focal length [3].
5. A special case where light passes through a single point (the pinhole) to form an inverted image on the opposite side of the camera [4].
6. Used for camera calibration to find intrinsic parameters (focal length and optical center) and extrinsic parameters (position and orientation of the camera) [1].
7. When the camera matrix is equal to the identity matrix and distortion coefficients are zero, it represents the pinhole camera model [4].",0.75,0.6,1.0,0,0.0,0.0,1.0,0.7857142857142857,7,39.96,slide_tieng_anh,truy_xuat
How does the SIFT descriptor work?,"The SIFT descriptor works as follows:

1. A 16×16 neighborhood of the keypoint is used to define the descriptor of that key-point [2].
2. This 16×16 neighborhood is divided into non-overlapping, contiguous 4×4 sub-blocks [2].
3. For each 4×4 sub-block, a histogram of gradients in 8 directions is computed [2].
4. This results in a 128-dimensional descriptor (4×4×8) [2].
5. To achieve orientation invariance, the coordinates of the descriptor and gradients orientations are rotated relative to the keypoint orientation [2].
6. The descriptor uses a scale parameter (σ) that is 1.5 times the keypoint scale to avoid sudden changes in the descriptor with small position changes [2].
7. The feature vector is normalized to unit length to avoid linear changes of illumination [2].",0.5,0.6666666666666666,1.0,0,0.0,0.0,1.0,0.5714285714285714,7,43.64,slide_tieng_anh,truy_xuat
What is RANSAC used for?,"1. RANSAC is a learning technique to estimate parameters of a model by random sampling of observed data [1].
2. RANSAC is used to select best-fit 4 point pairs from many corresponding points between images [1].
3. RANSAC is used for homography estimation [2].
4. RANSAC is used for affine transformation estimation [3].
5. RANSAC is used to improve matching process detection in image stitching [4].",0.75,0.75,1.0,0,0.0,0.0,1.0,1.0,5,44.97,slide_tieng_anh,truy_xuat
What is the Lucas-Kanade algorithm?,"The Lucas-Kanade algorithm is an optical flow algorithm that:

1. Is based on brightness constancy [1].
2. Assumes that motion is essentially constant in a local neighborhood [2].
3. Solves a system of linear equations for each pixel, considering the image gradient and temporal gradients [2].
4. Finds motion vectors (u, v) that minimize the sum-squared error of the brightness constancy equations for each pixel in a local window [3].
5. Uses spatial gradients (computed via filters such as Prewitt or Sobel operators) and temporal gradients (pixel-wise differences between consecutive frames) to estimate motion [3].",0.75,0.75,1.0,0,0.0,0.0,1.0,0.8,5,34.35,slide_tieng_anh,truy_xuat
What is the brightness constancy constraint equation?,"The brightness constancy constraint equation is a fundamental assumption in optical flow estimation, i.e. the intensity (brightness) of a pixel remains constant over time. It is expressed mathematically as I_x*u + I_y*v + I_t = 0 [1].",0.5,1.0,1.0,0,0.0,0.0,1.0,0.5,1,38.52,slide_tieng_anh,truy_xuat
Nhà nước có những đặc điểm gì?,"1. Nhà nước thiết lập một quyền lực công cộng đặc biệt, không hòa nhập với dân cư [1].  
2. Nhà nước có chủ quyền quốc gia [1].  
3. Nhà nước phân chia dân cư theo lãnh thổ [1].",0.75,1.0,1.0,0,0.0,0.8,1.0,0.3333333333333333,3,51.93,dai_tieng_viet,truy_xuat
Vi phạm pháp luật gồm những dấu hiệu nào?,"Vi phạm pháp luật gồm những dấu hiệu sau:

1. Hành vi xác định của con người [1].
2. Mối quan hệ nhân quả giữa hành vi trái pháp luật và hậu quả gây ra cho xã hội [2].
3. Thời gian vi phạm [1].
4. Địa điểm vi phạm [1].
5. Công cụ, phương tiện vi phạm [1].
6. Cách thức vi phạm [1].
7. Lỗi [3].",0.5,0.6666666666666666,1.0,0,0.0,0.167,1.0,0.5,7,63.32,dai_tieng_viet,truy_xuat
Trách nhiệm pháp lý được truy cứu khi nào?,Trách nhiệm pháp lý được truy cứu khi có vi phạm pháp luật xảy ra [1].,0.75,1.0,1.0,0,0.0,0.538,1.0,1.0,1,47.38,dai_tieng_viet,truy_xuat
Bản chất giai cấp của nhà nước thể hiện qua những dấu hiệu nào?,"1. Quyền lực kinh tế [3].  
2. Quyền lực chính trị [3].  
3. Quyền lực tư tưởng [3].",0.75,1.0,1.0,0,0.0,0.0,1.0,0.8333333333333334,3,25.99,dai_tieng_viet,truy_xuat
