cau_hoi,cau_tra_loi,precision_at_k,recall_at_k,faithfulness,faithfulness_dang_ngo,faithfulness_dao_dong,faithfulness_bam_ngu_canh,answer_relevance,citation_accuracy,so_cap_trich_dan_da_kiem,do_tre_giay,loai_tai_lieu,loai_cau_hoi
What are Haar-like features and how are they computed?,"1. Haar-like features are simple digital image features that were introduced in a real-time face detector [2].
2. They come into different types: edge features, line features and four-rectangle features [1].
3. Each feature is a single value obtained by subtracting sum of pixels under the white rectangle from sum of pixels under the black rectangle [3].
4. Haar features are just rectangle sum like our convolutional kernel [1].
5. These features can be efficiently computed on any scale in constant time, using an integral image [2].",0.75,1.0,1.0,0,0.0,0.875,1.0,1.0,5,25.17,slide_tieng_anh,truy_xuat
How many bins does the HOG histogram use for each 8x8 cell?,The HOG histogram uses 9 bins for each 8×8 cell [2].,0.5,1.0,1.0,0,0.0,0.125,1.0,1.0,1,46.15,slide_tieng_anh,truy_xuat
What classifier is used together with HOG features for pedestrian detection?,"Linear SVM is used together with HOG features for pedestrian detection [1], [2], [4].",0.25,0.5,1.0,0,0.0,0.0,1.0,1.0,3,27.93,slide_tieng_anh,truy_xuat
Các bước tính đặc trưng HOG gồm những bước nào?,"1. Tiền xử lý [1]  
2. Tính toán ảnh độ dốc [1]  
3. Tính histogram độ dốc trong các ô 8x8 [1]  
4. Chuẩn hóa khối 16x16 [1]  
5. Tính vector đặc trưng HOG [1]",0.25,1.0,1.0,0,0.0,0.0,1.0,1.0,5,41.31,slide_tieng_anh,cheo_ngon_ngu
Ảnh tích phân (integral image) được định nghĩa như thế nào?,"1. Ảnh tích phân (integral image) được định nghĩa là tổng của các pixel nằm phía trên và bên trái điểm (j, j) trong ảnh, với công thức $ I(j, j) = \sum_{u=0}^{j-1} \sum_{v=0}^{j-1} X(u, v) $ theo [1] và [2].",0.5,1.0,1.0,0,0.0,0.0,1.0,1.0,2,50.48,slide_tieng_anh,cheo_ngon_ngu
Kích thước ảnh dùng cho bài toán phát hiện người đi bộ là bao nhiêu?,Kích thước ảnh dùng cho bài toán phát hiện người đi bộ là 64 x 128 theo [1] và [2].,0.5,1.0,1.0,0,0.0,0.0,1.0,0.75,2,41.49,slide_tieng_anh,cheo_ngon_ngu
Ý tưởng cốt lõi của Fully Convolutional Networks là gì?,1. Thay thế fully connected layer bằng convolution layer [1].,0.25,1.0,1.0,0,0.0,0.833,1.0,1.0,1,25.63,dai_tieng_viet,truy_xuat
FCN-8s đạt Mean IU bao nhiêu trên tập PASCAL VOC?,FCN-8s đạt Mean IU là 62.7 trên tập PASCAL VOC theo [1].,0.25,1.0,1.0,0,0.0,0.0,1.0,0.5,1,43.01,dai_tieng_viet,doc_bang
Thời gian suy luận của FCN-8s so với SDS là bao nhiêu?,"Thời gian suy luận của FCN-8s là ~175ms, trong khi SDS là ~50s theo [1].",0.25,1.0,1.0,0,0.0,0.0,1.0,1.0,1,37.58,dai_tieng_viet,doc_bang
FCN-16s kết hợp những feature map nào với nhau?,"1. FCN-16s kết hợp conv7 output [1, 2].  
2. FCN-16s kết hợp pool4 feature map [1, 2].",0.5,1.0,1.0,0,0.0,0.167,1.0,0.875,4,85.2,dai_tieng_viet,truy_xuat
Giá trị momentum dùng khi huấn luyện FCN là bao nhiêu?,Giá trị momentum dùng khi huấn luyện FCN là 0.9 theo [1].,0.5,1.0,1.0,0,0.0,0.0,1.0,1.0,1,30.51,dai_tieng_viet,truy_xuat
Những hạn chế của FCN là gì?,"Những hạn chế của FCN là:

1. Spatial information bị mất theo [3].  
2. Boundary không sắc nét theo [3].  
3. Object nhỏ khó segment theo [3].",0.25,1.0,1.0,0,0.0,0.0,1.0,0.8333333333333334,3,114.85,dai_tieng_viet,truy_xuat
